Barcode,Multimedia IRN,Image 1/2,assetID
010178897,2039212,image 1,71aeda6462d42513fe4de481ae6c6789a39b2ff7
010178898,2039213,image 1,c0450895fb34e959df1090a00ea538ee17c6a331
010178899,2039214,image 1,84b7096433b693bac0eed231b24b53bfe5d99439
010178900,2039215,image 1,c245f839abc7d704caf1435876cb50f38ec2eedd
010178901,2039216,image 1,effa8b8d26223803a24bf9df405ea4bbada5607d
010178902,2039217,image 1,1691f218f3f5bbdf87388bb86d89a1e10ba21a20
010178903,2039218,image 1,86da3cf4e104850ecb83ba9fc2e759b0b5f31eeb
010178904,2039219,image 1,2647b64a994c4c2f3a577b2492d140e8abcb1055
010178905,2039220,image 1,6b320fcfd597bedc644d833013cc655ce447536d
010178906,2039221,image 1,511756107a7a1eb0d18cda9bb27f68ae2b3894d0
010178907,2039222,image 1,8e3154c2fe0a4454e178e229f716db78837f3c93
010178908,2039223,image 1,76bdee84972c1827e29fa4bc2d1e25034e2e9eaa
010178909,2039224,image 1,f32f8294cbffb77799948971c5511f3e88f5dd93
010178910,2039225,image 1,59fa82df355811589278ca430007e98f0d69d85e
010178911,2039226,image 1,9fa92f0afd9e24f89ec819bb43fe37048ca30749
010178912,2039227,image 1,d6491b72c7ad2854a9482426b295f0c2ab2d1bf3
010178913,2039228,image 1,3a5079be8b7ab01ee9ff06cc30a8de7d72f17547
010178914,2039229,image 1,af0ab4230e923879fef813ebc537452508facea1
010178915,2039230,image 1,07d73506253c111c026667138e806327b9bd29d7
010178916,2039231,image 1,45eb7223442888ab9889a3e9bef1416b25b39d4d
010178917,2039232,image 1,e18333e34bfc03f4bae642f231008a28869ea797
010178918,2039233,image 1,aaf4bd3b414be56f2d27a16663037e8bab8c8e48
010178919,2039234,image 1,2aa902199c64e3d420f833dbb816abe9c9660deb
010178920,2039235,image 1,1ff3f5709221f474402f39a5e2656a1f4ee41f98
010178921,2039236,image 1,ecf210c9d15396456bddd7efd21c2ebb2975e476
010178922,2039237,image 1,25f4ed009fcd4f696b55e7047339094bc2d6c899
010178923,2039238,image 1,76d93361b3e4aeff96f8eb078c394754c3a76301
010178924,2039239,image 1,52fbdf5011809daa02eb352585baea1658af5328
010178925,2039240,image 1,4142c11186d2a14e53e909ac178899ac24bb46e2
010178926,2039241,image 1,5144e6b2eae9526880445846f5ce7c3c4ee9fa0b
010178927,2039242,image 1,b8a7c343a55fd0ebdb895dca0e59c89a270e66bc
